token,overall_status,date,description,location,complaint_type,complaint_category,expected_resolved_date,latest_action_date,latest_advice,latest_remark,error
T60137,INPROCESS,09/07/2025 08:37:49 PM,"Half done,half the hope!Keshavnagar Kharadi's incomplete bridge work has be.... आणखी पहा.",Keshavnagar Kharadi's,"Bridge / Overbridge / Subway / pedestrian - Development of Bridge , Sub-ways & Pedestrian",Bridge / Overbridge / Subway / pedestrian,16/07/2025 08:37:49 PM,-,,Reopened,
T60268,REJECTED,13/07/2025 12:48:32 PM,This is a dangerous section while getting down from the Pashan Tekdi/खिंड s.... आणखी पहा.,Pashan Tekdi/खिंड side to Mumbai Bangalore highway.,"Road, pavement, divider, pits, repair / new speed breaker / zebra crossing - Others road","Road, pavement, divider, pits, repair / new speed breaker / zebra crossing",15/07/2025 12:48:32 PM,15/07/2025 10:02:18 AM,Reason : Long Term Work - Long turm work,Reason : Long Term Work - Long turm work,
